Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
TREAMEN INVESTMENTS II SLU	62	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Valencia	Sociedad Privada
LLOGUERS L ALQUERIA SL	62	Lloguers L'Alqueria SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
PUERTO INMOBILIARIO DE ALICANTE SL	61	Proa Participaciones	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Valencia	Sociedad Privada
FONDO INMOBILIARIO VALENCIANO S.A.	60	Fondo Inmobiliario Valenciano SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
GOMEZ LECHON MORAGUES, FERNANDO JOSE	58	Particulares	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
ARRENDAMIENTOS APARICI SL	57	Inversiones y representaciones Rimar	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Valencia	Sociedad Privada
GALEROTA S.L.	56	Galerota SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BANCO SABADELL, S.A.	55	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
RENAU ALQUILERES Y SERVICIOS SL	54	Renau Alquileres y Servicios SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
PALMA MARIN SL	54	Grupo Manuel Palma SL	España	España	Empresa privada	NA	Automoción	NA	Valencia	Sociedad Privada
ORIGESTION SL	54	Origestión SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BIGECO SA	53	Bigeco SA	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
EDIVAMA ALQUILERES, S.L.	53	Edivama Alquileres SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
FAMA DESARROLLOS INMOBILIARIOS SL	52	Fama Desarrollos Inmobiliarios SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
COOP DE CREDITO CAJA RURAL SAN ISIDRO	52	Coop. de Crédito Caja Rural San Isidro	España	España	Cooperativa	NA	Entidades financieras	Banca	Valencia	Sociedad Privada
ALBA 810 SL UNIPERSONAL	52	Alba 810 SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BOIGUES ROYO ELSA	52	Particulares	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
ALEKSANDRA CITY FINANCE SL	52	Aleksandra City Finance SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
SALVADOR VILA SL	51	Salvador Vila SL	España	España	Empresa privada	NA	Construcción	NA	Valencia	Sociedad Privada
MDT 98, S.L.	51	MDT 98 SL	España	España	Empresa privada	NA	Inmobiliarias	NA	Valencia	Sociedad Privada
BANCO SANTANDER SA	50	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Galicia	Sociedad Privada
J. RIBAS E HIJOS, SL	50	J. Ribas e Hijos SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
CAMPO GARCÍA, CB	52	Campo García CB	España	España	Comunidad de bienes	NA	Comunidad de bienes	NA	Galicia	Sociedad Privada
LEIROVEN SL	54	Leiroven SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
FERSUAR SL	56	Fersuar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
ESPERELA, SL	58	Esperela SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
CONSTRUCCIONES RIO OURO, S.L	59	Construcciones Río Ouro SL	España	España	Empresa privada	NA	Construcción	NA	Galicia	Sociedad Privada
BASALNOR, SL	60	Basalnor SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
COMPAÑIA DE JESUS PROV. DE ESPAÑA	61	Compañía de Jesús Provincia de España	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Galicia	Sociedad Privada
CAPITALIA VIVIENDAS EN ALQUILER S.L.	62	Capitalia Viviendas en Alquiler SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
CONSTRUCCIONES COSTA CORUÑA,S.L	65	Construcciones Costa Coruña SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
LA PATIÑA, C.B.	65	La Patiña CB	España	España	Comunidad de bienes	NA	Comunidad de bienes	NA	Galicia	Sociedad Privada
PROM. Y CONSTRUCCIONES Y OBRAS BETAN SL	65	Promociones y Construcciones y Obras Betán, S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
FERGO GALICIA RENTA, S.L.	67	Fergo Galicia Renta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
PROVIBER PATRIMONIAL SLU	68	Ralocasa SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
SANTIAGO SUR GALICIA S.L.	68	Provive SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
INMOBILIARIA DE PUENTES Y CALZADAS,S.L.	71	"China Communications Construction
Company Limited"	China	España	Empresa privada	NA	Construcción	NA	Galicia	Sociedad Privada
INMOSUPA SOCIMI SA	72	Fundoland SL	España	España	Socimi	NA	Otros	NA	Galicia	Sociedad Privada
ANTOBECO INVERSIONES INMOBILIARIAS SL	74	Antobeco SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
SAREB	74	Sareb	España	España	Empresa o administración pública	AGE	Entidades financieras	Sareb	Galicia	Sociedad Pública
FARELLAS FEANS S.L.	78	Farella Feans SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
BUILDINGCENTER S.A.U.	80	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Galicia	Sociedad Privada
DIOCESE TUI-VIGO	81	Diócesis Tui-Vigo	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Galicia	Sociedad Privada
BOSVENTOS ALQUILERES, SL	82	Bosventos Alquileres SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
ELVIÑA RENTA, S.L	90	Elviña Renta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
GOLDEKY, S.L.	93	Goldkey SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
ADRIANO CARE SPV1, S.L.U.b.	106	Azora Capital	España	España	Socimi	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
LAZORA SA SII	108	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
Concello de A Coruña	113	Concello de A Coruña	España	España	Empresa o administración pública	Ayuntamiento	Parque público	NA	Galicia	Sociedad Pública
INMOBILIARIA SAN FERNANDO S.A	114	Inmobiliaria San Fernando	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
SANTIAGO SUR ALQUILERS SL	120	Provive SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
VIRIAMARCA SL	120	Viriamarca SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
ALQUILERES CAMPUS STELLAE SL	123	Alquileres Campus Stellae S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
ABANCA DIVISION INMOBILIARIA S.L	136	Abanca	España	España	Empresa privada	NA	Entidades financieras	Banca	Galicia	Sociedad Privada
ABANCA CORPORACION BANCARIA, SA	152	Abanca	España	España	Empresa privada	NA	Entidades financieras	Banca	Galicia	Sociedad Privada
NAVILI S.L.	205	Navili SL	España	España	Empresa privada	NA	Construcción	NA	Galicia	Sociedad Privada
ANDRES LOPEZ BLANCO SL	232	Andrés López Blanco SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
AVANTE ELECTA,SL.	304	Avante Electa, S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
TESTA RESIDENCIAL SOCIMI SA	337	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Galicia	Sociedad Privada
FINCAS LAVANDERIA SL	398	Fincas Lavandeira	España	España	Empresa privada	NA	Inmobiliaria	NA	Galicia	Sociedad Privada
Instituto Galego da Vivenda e Solo	3724	Xunta de Galicia	España	España	Empresa o administración pública	CCAA	Parque público	NA	Galicia	Sociedad Pública
IBAVI	1981	Govern de Illes Balears	España	España	Empresa pública	CCAA	Parque público	NA	Baleares	Sociedad Pública
TESTA RESIDENCIAL SOCIMI, S.A.	961	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Baleares	Sociedad Privada
BUILDINGCENTER, SAU	506	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Baleares	Sociedad Privada
AJUNTAMENT DE PALMA (PMHRIBA)	277	Ayuntamiento de Palma	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Baleares	Sociedad Pública
DOMUS VIVENDI CITY GMBH & CO KG	114	Domus Vivendi City GMBH & Co Kg	Alemania	Alemania	Empresa privada	NA	Inmobiliaria	NA	Baleares	Sociedad Privada
ZAGUER INMOPROM, S.L	107	Zaguer Inmoprom SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Baleares	Sociedad Privada
BANCO DE SABADELL, S.A.	103	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Baleares	Sociedad Privada
SERVICIOS INMOBILIARIOS MALLORQUINES SA	92	San Martín de Inrenta SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Baleares	Sociedad Privada
VIVENIO RESIDENCIAL SOCIMI, S.A	77	Renta Corporación	España	España	Socimi	NA	Inmobiliaria	NA	Baleares	Sociedad Privada
PROMONTORIA COLISEUM RESIDENTIAL S.L.U.	72	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Baleares	Sociedad Privada
MONTO ALQUILERS, S.L	69	Monto Alquileres SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Baleares	Sociedad Privada
GLOBAL LICATA S.A.	64	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Baleares	Sociedad Privada
DIVARIAN PROPIEDAD, S.A	61	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Baleares	Sociedad Privada
ESMENT	56	Esment	España	España	Fundación	NA	Fundaciones	NA	Baleares	Sociedad Privada
BANKIA S.A	52	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Baleares	Sociedad Privada
Gobierno Vasco	3767	Gobierno Vasco	España	España	Empresa pública y administraciones	CCAA	Parque público	NA	Pais vasco	Sociedad Pública
Oal Viviendas Municipales de Bilbao	3349	Ayuntamiento de Bilbao	España	España	Empresa pública y administraciones	Ayuntamiento	Parque público	NA	Pais vasco	Sociedad Pública
Alokabide SA	2964	Gobierno Vasco	España	España	Empresa pública y administraciones	CCAA	Parque público	NA	Pais vasco	Sociedad Pública
Entidad Pública Empresarial de Vivienda - Donostiako Etxegintza	869	Ayuntamiento de Donostia	España	España	Empresa pública y administraciones	Ayuntamiento	Parque público	NA	Pais vasco	Sociedad Pública
Vitalquiler SL	423	Kutxabank	España	España	Empresa privada	NA	Entidades financieras	Banca	Pais vasco	Sociedad Privada
Basconia SA	212	Mintegui Industrias del Camión S.A.	España	España	Empresa privada	NA	Automoción	NA	Pais vasco	Sociedad Privada
SA Inmobiliaria Vascongada	163	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Lazora SII SA	155	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Inmocriteria Arrendamiento III SLU Sociedad Unipersonal Obra Social La Caixa	155	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Pais vasco	Sociedad Privada
Benta-Berri UTE	153	Blackstone	Estados Unidos	España	Socimi	NA	Entidades financieras	Fondos de inversión	Pais vasco	Sociedad Privada
Aurrera SA	148	Aurrera SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Comunidad de Propietarios Zumalacarregui 36	139	Comunidad de Propietarios Zumalacarregui 36	España	España	Comunidad de propietarios	NA	Comunidad de propietarios	NA	Pais vasco	Sociedad Privada
Organización y Programación de Inversiones SA	114	Organización y Programación de Inversiones SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Vivienda y Suelo de Euskadi SA-Euskadiko Etxebizitza eta Lurra EA	88	Gobierno Vasco	España	España	Empresa pública y administraciones	CCAA	Parque público	NA	Pais vasco	Sociedad Pública
Tubos Forjados SA	80	Tubos Reunidos	España	España	Empresa privada	NA	Metal	NA	Pais vasco	Sociedad Privada
Junta Obras del Puerto de Bilbao	72	Ministerio de Fomento	España	España	Empresa pública y administraciones	NA	Otros	NA	Pais vasco	Sociedad Pública
Echevarria SA	63	Sidenor	España	España	Empresa privada	NA	Metal	NA	Pais vasco	Sociedad Privada
Inmobiliaria Tres Coronas SA	63	Inmobiliaria Tres Coronas SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Construcciones y Promociones Artasamina SL	60	Construcciones y Promociones Artasamina SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Azpiegiturak SAMP	59	Diputación Foral de Bizkaia	España	España	Empresa pública y administraciones	Diputación	Parque público	NA	Pais vasco	Sociedad Pública
Indumetal	59	Indumetal	España	España	Empresa privada	NA	Otros	NA	Pais vasco	Sociedad Privada
PBP Gestión de Arrendamientos y Alquileres SL	52	PBP Gestión de Arrendamientos y Alquileres SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Pais vasco	Sociedad Privada
Banco Santander	143	Banco Santander	España	España	Empresa privada		Entidades financieras	Banca	Canarias	Sociedad Privada
Building Center S.A.	91	CaixaBank	España	España	Empresa privada		Entidades financieras	Banca	Canarias	Sociedad Privada
Nestar Residencial. S.A	71	CBRE	Estados Unidos	España	Empresa privada		Inmobiliaria		Canarias	Sociedad Privada
